index,Area,Deaths
0,Canada,2
1,Cuba,7
2,Florida,9
3,North Carolina,2
4,Virginia,13
5,Delaware,1
6,Maryland,19
7,New Jersey,1
8,New York,24
9,Pennsylvania,50
10,Total,128
