index,0,1
0,Month Number of wildfires January 10 February 0 March 3 April 10 May 24 June 51 July 36 August 27 September 14 October 9 November 1 December 0 Source Cal Fire incidents 2021,
1,Month,Number of wildfires
2,January,10
3,February,0
4,March,3
5,April,10
6,May,24
7,June,51
8,July,36
9,August,27
10,September,14
11,October,9
12,November,1
13,December,0
14,Source,Cal Fire incidents 2021
