,0,1
0,Kota Tinggi in Malaysia was severely flooded between December 2006 and January 2007.,Kota Tinggi in Malaysia was severely flooded between December 2006 and January 2007.
1,Meteorological history,Meteorological history
2,Duration,18 December 2006 – 13 January 2007
3,Overall effects,Overall effects
4,Fatalities,118
5,Damage,$395 million
6,Areas affected,"Malaysia (Johor, Malacca, Pahang and Negeri Sembilan), Singapore and Indonesia (Aceh and North Sumatra)"
