indexindex,0,1
0,,
1,Meteorological history,Meteorological history
2,Formed,"July 27, 1922"
3,Dissipated,"August 3, 1922"
4,Very strong typhoon,Very strong typhoon
5,10-minute sustained (JMA),10-minute sustained (JMA)
6,Highest winds,155 km/h (100 mph)
7,Lowest pressure,≤932 hPa (mbar); ≤27.52 inHg
8,Overall effects,Overall effects
9,Fatalities,"50,000–100,000+"
10,Areas affected,"Northern Philippines, China"
11,Part of the 1922 Pacific typhoon season,Part of the 1922 Pacific typhoon season
