index,0,1,2,3,4,5,6,7,8,9,10,11,12
0,Malakas,Megi,Chaba,Aere,Songda,Trases,Mulan,Meari,Ma-on,Tokage,Hinnamnor,Muifa,Merbok
1,Nanmadol,Talas,Noru,Kulap,Roke,Sonca,Nesat,Haitang,Nalgae,Banyan,Yamaneko,Pakhar,
