index,0,1
0,Category 2 tropical cyclone (Australian scale),Category 2 tropical cyclone (Australian scale)
1,Category 1 tropical cyclone (SSHWS),Category 1 tropical cyclone (SSHWS)
2,,
3,Duration,January 22 – February 1 (Exited basin)
4,Peak intensity,110 km/h (70 mph) (10-min); 979 hPa (mbar)
