index,0,1
0,Track of the Boundary Waters-Canadian Derecho (courtesy of NOAA),Track of the Boundary Waters-Canadian Derecho (courtesy of NOAA)
1,Duration,22 hours
2,Track length,"1,300 mi (2,090 km)"
3,Peak wind gust (measured),90 mph (145 km/h; 40.2 m/s)
4,Fatalities,4
5,Damage costs,">$100,000,000"
6,Areas affected,"Northern United States, southern Canada"
