,0,1
0,,
1,,
2,Type,European windstorm Extratropical cyclone
3,Formed,11 November 1972[1]
4,Dissipated,Unknown
5,,
6,,
7,Highest gust,245 km/h (152 mph)[1]
8,Lowest pressure,953 hPa (28.1 inHg)[2]
9,,
10,,
11,Fatalities,54[3][4]
12,Areas affected,"Newfoundland, British Isles, France, Germany, Netherlands, Belgium, Italy, Switzerland, Austria, Denmark, Poland"
