,0,1
0,General,Military history of Korea List of monarchs of Korea Timeline of Korean history
1,Chronology,Gojoseon Dangun Joseon / Gija Joseon / Wiman Joseon / Jin (Korean state) Proto–Three Kingdoms of Korea Buyeo / Okjeo / Dongye / Samhan / Four Commanderies of Han Three Kingdoms of Korea Goguryeo / Baekje / Silla / Gaya confederacy North–South States Period Later Silla / Balhae Later Three Kingdoms Taebong / Later Baekje / Silla Goryeo Joseon Korean Empire Korea under Japanese rule Provisional Government of the Republic of Korea Division of Korea United States Army Military Government in Korea / Soviet Civil Administration / Korean War History of South Korea / History of North Korea
