index,0,1
0,General,Borders Korean Peninsula List of islands of Korea List of lakes of Korea List of mountains in Korea List of rivers of Korea Provinces of Korea Regions of Korea Geology of South Korea Floods in Korea
1,Geography of North Korea,Administrative divisions of North Korea List of cities in North Korea Special cities of North Korea Geology of North Korea
2,Geography of South Korea,Administrative divisions of South Korea Environment of South Korea List of cities in South Korea List of special cities of South Korea List of World Heritage Sites in South Korea
