,0,1
0,"Category 0 ""Nuisance"" (RSI/NOAA: N/A)","Category 0 ""Nuisance"" (RSI/NOAA: N/A)"
1,,
2,Duration,"October 12–14, 2021"
3,Lowest pressure,988 mb (29.18 inHg)
4,Maximum snow,28 in (71 cm)
5,Fatalities,0 fatalities
6,Damage,Per Aon: ≥ $50 million (2021 USD)[7]
