,0,1
0,The depression which in its precursor low caused dangerous floods in West Bengal.,The depression which in its precursor low caused dangerous floods in West Bengal.
1,Date,July – August 2017
2,Location,"West Bengal and Jharkhand, India"
3,Deaths,At least 152 [1](1 June 2017 – 30 August 2017 )
4,Property damage,"₹14,000 crore (US$2.18 billion) [1](government estimate)"
