index,Rank,Hurricane,Season,Damage,Refs
0,1,Irma,2017,$13.2 billion,[145]
1,2,Ike,2008,$7.3 billion,[146]
2,3,Matthew,2016,$2.58 billion,[147]
3,4,Gustav,2008,$2.1 billion,[146]
4,5,Michelle,2001,$2 billion,[148]
5,5,Sandy,2012,$2 billion,[149]
6,7,Dennis,2005,$1.5 billion,[150]
7,8,Ivan,2004,$1.2 billion,[151]
8,9,Rafael,2024,$1.08 billion,[152]
9,10,Charley,2004,$923 million,[151]
