UUID1,UUID2,Coverage,Weighted_Score,UUID,Main_Event,Event_Name,Hazard,Location,Deaths_Min,Deaths_Max,Injured_Max,Injured_Min,Buildings_Damaged_Min,Buildings_Damaged_Max,Affected_Min,Affected_Max,Homelessness_Min,Homelessness_Max,Displaced_Min,Displaced_Max,Damage_Min,Damage_Max,Damage_Unit,Damage_Inflation_Adjusted,Damage_Inflation_Adjusted_Year,Insured_Damage_Min,Insured_Damage_Max,Insured_Damage_Unit,Insured_Damage_Inflation_Adjusted,Insured_Damage_Inflation_Adjusted_Year,Start_Day,Start_Month,Start_Year,End_Day,End_Month,End_Year
pQBHzJf,pQBHzJf,0.0,0.2538569424964937,0,0,0.0,1.0,0.8695652173913043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0
pUxVfPR,pUxVfPR,0.0,0.2511520737327189,0,0,0.0,1.0,0.7857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,1.0,1.0,0.0,1.0,1.0
pZnEFCE,pZnEFCE,0.0,0.037544503182651845,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.08695652173913043,0.07692307692307693,0.0
paKKSkV,paKKSkV,0.0,0.03302902221389733,0,0,0.0,1.0,0.0,0.0,0.004291845493562232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0196078431372549,0.0,0.0,0.0,0.0,0.0
ptT4gem,ptT4gem,0.0,0.07779625683887616,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0007137758743754461,0.0007137758743754461,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0
ptzMXLe,ptzMXLe,0.0,0.2541935483870968,0,0,0.0,1.0,0.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0
pvPPzAx,pvPPzAx,0.0,0.08648901355773726,0,0,0.0,0.33333333333333337,0.34782608695652173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,1.0,0.0,0.0,1.0,0.0,0.0
pwNKYNd,pwNKYNd,0.0,0.03464755077658303,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.07407407407407407,0.0,0.0,0.0,0.0,0.0
pxhUYTP,pxhUYTP,0.0,0.31688804554079697,0,0,0.0,1.0,0.8235294117647058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0
q4WXk5V,q4WXk5V,0.0,0.14629077437426585,0,0,0.0,1.0,0.5882352941176471,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.3333333333333333,0.14285714285714285,0.0,0.4117647058823529,0.058823529411764705,0.0
qKRYUdc,qKRYUdc,0.0,0.3187096774193548,0,0,0.0,1.0,0.88,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0
qLis7YA,qLis7YA,0.0,0.09892473118279571,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,1.0,0.06666666666666667,0.0,1.0,0.0,0.0
qT6ARMN,qT6ARMN,0.0,0.3172043010752688,0,0,0.0,1.0,0.8333333333333334,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0
qYqmbG7,qYqmbG7,0.0,0.21889400921658986,0,0,0.0,1.0,0.7857142857142857,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,1.0,0.0,0.0,1.0,1.0
qfntayL,qfntayL,0.0,0.03665689149560117,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.13636363636363635,0.0,0.0
qmieBHj,qmieBHj,0.0,0.037544503182651845,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.08695652173913043,0.07692307692307693,0.0
qoFCs63,qoFCs63,0.0,0.013978494623655914,0,0,0.0,0.33333333333333337,0.09999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
qrrWhNJ,qrrWhNJ,0.0,0.2838709677419355,0,0,0.0,1.0,0.8,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,1.0,1.0,1.0,0.0,1.0,1.0
qs4oQqq,qs4oQqq,0.0,0.022137887413029727,0,0,0.0,0.33333333333333337,0.3529411764705882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
r4T7VJg,r4T7VJg,0.0,0.31048387096774194,0,0,0.0,1.0,0.625,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0
r6PzNwJ,r6PzNwJ,0.0,0.22485151216236068,0,0,0.0,1.0,0.0,0.45689655172413796,0.45689655172413796,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.05660377358490566,0.0,0.0,1.0,0.0,0.0
rsie7vX,rsie7vX,0.0,0.2536656891495601,0,0,0.0,1.0,0.8636363636363636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0
rx6MVKE,rx6MVKE,0.0,0.2795698924731183,0,0,0.0,1.0,0.6666666666666667,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,1.0,1.0,1.0,0.0,1.0,1.0
s6bqzFx,s6bqzFx,0.0,0.18785578747628082,0,0,0.0,1.0,0.8235294117647058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,1.0,1.0,0.0,1.0,1.0
