,0,1
0,Flood damage along Main Street in Ellicott City on August 10,Flood damage along Main Street in Ellicott City on August 10
1,Date,"July 30, 2016"
2,Location,"Maryland, United States"
3,Deaths,2[1]
4,Property damage,$22.435 million (2016 USD)[2]
