index,0,1,2,3,4,5,6,7,8,9
0,1,2,3,4,5,6,7,8,9,10
1,2018 (318.1),1992 (294.3),2015 (290.2),1990 (249.5),1978 (207.7),1983 (206.2),2014 (202.4),1993 (201.8),1984 (193.7),1985 (193.1)
