,2001 Atlantic hurricane season,2001 Atlantic hurricane season.1
0,Season summary map,Season summary map
1,Seasonal boundaries,Seasonal boundaries
2,First system formed,"June 5, 2001"
3,Last system dissipated,"December 4, 2001"
4,Strongest storm,Strongest storm
5,,
6,By maximum sustained winds,Iris
7,• Maximum winds,145 mph (230 km/h) (1-minute sustained)
8,• Lowest pressure,948 mbar (hPa; 27.99 inHg)
9,,
10,By central pressure,Michelle
11,• Maximum winds,140 mph (220 km/h) (1-minute sustained)
12,• Lowest pressure,933 mbar (hPa; 27.55 inHg)
13,Seasonal statistics,Seasonal statistics
14,Total depressions,17
15,Total storms,15
16,Hurricanes,9
17,Major hurricanes (Cat. 3+),4
18,Total fatalities,153 total
19,Total damage,$11.94 billion (2001 USD)
20,Related articles,Related articles
21,Timeline of the 2001 Atlantic hurricane season 2001 Pacific hurricane season 2001 Pacific typhoon season 2001 North Indian Ocean cyclone season,Timeline of the 2001 Atlantic hurricane season 2001 Pacific hurricane season 2001 Pacific typhoon season 2001 North Indian Ocean cyclone season
22,"Atlantic hurricane seasons 1999, 2000, 2001, 2002, 2003","Atlantic hurricane seasons 1999, 2000, 2001, 2002, 2003"
