index,0,1,2,3,4,5,6
0,Saffir–Simpson scale,Saffir–Simpson scale,Saffir–Simpson scale,Saffir–Simpson scale,Saffir–Simpson scale,Saffir–Simpson scale,Saffir–Simpson scale
1,TD,TS,C1,C2,C3,C4,C5
