,0,1
0,"Air temperature anomalies across North America on June 27, 2021, compared to 2014–2020 baseline","Air temperature anomalies across North America on June 27, 2021, compared to 2014–2020 baseline"
1,Type,Heat wave
2,Start date,"June 25, 2021"
3,End date,"July 7, 2021"
4,Peak temp.,"49.6 °C (121.3 °F), recorded at Lytton, British Columbia[1]"
5,Losses,Losses
6,Deaths,"1,400 deaths (estimated),[2][3] 914 (confirmed) 800 excess deaths (685 confirmed) in Canada ~600 excess deaths (229 confirmed) in the United States"
7,Damages,United States: ≥$8.9 billion (2021 USD)[4]
