index,Storm name,Dates active,Storm category at peak intensity,Max 1-min wind mph (km/h),Min. press. (mbar),Areas affected,Damage  (USD),Deaths,Ref(s).,Unnamed: 9,Unnamed: 10
0,Alex,June 5–6,Tropical storm,70 (110),984,"Yucatán Peninsula, Western Cuba, Florida, Northern Bahamas, Bermuda",>$375 million,4,[56][60],,
1,Bonnie,July 1–2,Tropical storm,60 (95),996,"Trinidad and Tobago, Grenada, ABC Islands, Venezuela, Colombia, San Andres Island, Costa Rica, Nicaragua (before crossover)",$25 million,4,[37],,
2,Colin,July 1–2,Tropical storm,40 (65),1011,Southeastern United States (South Carolina),Minimal,1,[38],,
3,Danielle,September 1–8,Category 1 hurricane,85 (140),972,Western Iberian Peninsula,Unknown,,,,
4,Earl,September 2–10,Category 2 hurricane,110 (175),948,"Northern Leeward Islands, Puerto Rico, Bermuda, Newfoundland",Minimal,2,[43],,
5,Fiona,September 14–23,Category 4 hurricane,140 (220),931,"Lesser Antilles (Guadeloupe), Puerto Rico, Dominican Republic, Eastern Bahamas, Turks and Caicos Islands, Bermuda, Eastern Canada",≥$3.09 billion,29,[30][76],,
6,Gaston,September 20–25,Tropical storm,65 (100),994,Azores,Minimal,,,,
7,Ian,September 23–30,Category 5 hurricane,160 (260),937,"Trinidad and Tobago, Venezuela, Colombia, ABC islands, Jamaica, Cayman Islands, Cuba, Southeastern United States (Florida and South Carolina)",$113 billion,161,[31][85],,
8,Hermine,September 23–24,Tropical storm,40 (65),1003,Canary Islands,$9.8 million,,[91],,
9,Eleven,September 28–29,Tropical depression,35 (55),1008,,,,,,
10,Twelve,October 4–6,Tropical depression,35 (55),1007,,,,,,
11,Julia,October 7–9,Category 1 hurricane,85 (140),982,"Trinidad and Tobago, Venezuela, ABC Islands, Colombia, Central America (Nicaragua; before crossover)",>$406 million,35 (54),[49][94],,
12,Karl,October 11–14,Tropical storm,60 (95),997,Southern Mexico,$76.9 million,3,[51][97],,
13,Lisa,October 31 – November 5,Category 1 hurricane,90 (150),985,"Jamaica, Cayman Islands, Central America (Belize)",$100 million,,[98],,
14,Martin,November 1–3,Category 1 hurricane,85 (140),965,,,,,,
15,Nicole,November 7–11,Category 1 hurricane,75 (120),980,"Greater Antilles, Bahamas, Southeastern United States",$1 billion,0 (11),[55],,
16,Season aggregates,Season aggregates,Season aggregates,Season aggregates,Season aggregates,Season aggregates,Season aggregates,Season aggregates,Season aggregates,Season aggregates,Season aggregates
17,16 systems,June 5 – November 11,,160 (260),931,,>$118.082 billion,239 (65),,,
