,Rank,Cost,Season
0,1,≥ $294.803 billion,2017
1,2,$172.297 billion,2005
2,3,$129.517 billion,2024
3,4,$117.708 billion,2022
4,5,≥ $80.827 billion,2021
5,6,$72.341 billion,2012
6,7,$61.148 billion,2004
7,8,$54.336 billion,2020
8,9,≥ $50.526 billion,2018
9,10,≥ $48.855 billion,2008
