index,0,1
0,,
1,Date,23 March 2015 – 25 March 2015
2,Location,"Atacama, Antofagasta, Coquimbo regions, Chile."
3,Deaths,26 (125 missing)
4,Property damage,"28,108 houses damaged or lost"
