index,Meteorological history,Meteorological history.1
0,Formed,"May 8, 1965"
1,F5 tornado,F5 tornado
2,on the Fujita scale,on the Fujita scale
3,Highest winds,261–318 mph (420–512 km/h)
4,Overall effects,Overall effects
5,Casualties,1
6,Fatalities,0
7,Injuries,1
8,Areas affected,"Colome, South Dakota"
