index,1902–1919 Pacific typhoon seasons,1902–1919 Pacific typhoon seasons
,Seasonal boundaries,Seasonal boundaries.1
0,First system formed,January 1916
1,Last system dissipated,December 1916
2,Seasonal statistics,Seasonal statistics
3,Total depressions,23[1]
4,Total fatalities,Unknown
5,Total damage,Unknown
6,Related articles,Related articles
7,1916 Atlantic hurricane season 1910–19 Pacific hurricane seasons 1910s North Indian Ocean cyclone seasons,1916 Atlantic hurricane season 1910–19 Pacific hurricane seasons 1910s North Indian Ocean cyclone seasons
8,"Pacific typhoon seasons 1915, 1916, 1917, 1918, 1919","Pacific typhoon seasons 1915, 1916, 1917, 1918, 1919"
