,1902–1919 Pacific typhoon seasons,1902–1919 Pacific typhoon seasons
,Seasonal boundaries,Seasonal boundaries.1
0,First system formed,January 1906
1,Last system dissipated,November 1906
2,Seasonal statistics,Seasonal statistics
3,Total depressions,32[1]
4,Total fatalities,473
5,Total damage,Unknown
6,Related articles,Related articles
7,1907 Atlantic hurricane season 1900–09 Pacific hurricane seasons 1900s North Indian Ocean cyclone seasons,1907 Atlantic hurricane season 1900–09 Pacific hurricane seasons 1900s North Indian Ocean cyclone seasons
8,"Pacific typhoon seasons 1905, 1906, 1907, 1908, 1909","Pacific typhoon seasons 1905, 1906, 1907, 1908, 1909"
