index,0,1
0,"24-hour rainfall totals in Bulgaria for June 19, 2014","24-hour rainfall totals in Bulgaria for June 19, 2014"
1,Date,17–20 June 2014 (3 days)
2,Location,Bulgaria Varna Province Dobrich Province Veliko Tarnovo Province Shumen Province  Romania Constanța County
3,Deaths,16
4,Property damage,"311,000,000+ Euros[1][2][3][4]"
