,0,1
0,Tropical storm (JMA),Tropical storm (JMA)
1,Tropical storm (SSHWS),Tropical storm (SSHWS)
2,,
3,Duration,January 3 – January 7
4,Peak intensity,75 km/h (45 mph) (1-min); 995 hPa (mbar)
