UUID1,UUID2,Coverage,Weighted_Score,UUID,Main_Event,Event_Name,Hazard,Location,Deaths_Min,Deaths_Max,Injured_Max,Injured_Min,Buildings_Damaged_Min,Buildings_Damaged_Max,Affected_Min,Affected_Max,Homelessness_Min,Homelessness_Max,Displaced_Min,Displaced_Max,Damage_Min,Damage_Max,Damage_Unit,Damage_Inflation_Adjusted,Damage_Inflation_Adjusted_Year,Insured_Damage_Min,Insured_Damage_Max,Insured_Damage_Unit,Insured_Damage_Inflation_Adjusted,Insured_Damage_Inflation_Adjusted_Year,Start_Day,Start_Month,Start_Year,End_Day,End_Month,End_Year
7gcZcVp,7gcZcVp,0.0,0.010752688172043012,0,0,0.0,0.33333333333333337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
7ntQBb2,7ntQBb2,0.0,0.02227342549923195,0,0,0.0,0.33333333333333337,0.3571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
87sDeMi,87sDeMi,0.0,0.08263027295285359,0,0,0.0,0.46153846153846156,0.09999999999999998,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
9imgDfX,9imgDfX,0.0,0.15591397849462368,0,0,0.0,0.33333333333333337,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,1.0,0.0,0.0,1.0,0.0
9iy6ibR,9iy6ibR,0.0,0.010752688172043012,0,0,0.0,0.33333333333333337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
A67hPMb,A67hPMb,0.0,0.08172043010752687,0,0,0.0,0.33333333333333337,0.19999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,1.0,0.0,0.0,1.0,0.0
A6jHwLh,A6jHwLh,0.0,0.04594330400782014,0,0,0.0,0.33333333333333337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,1.0,0.09090909090909091,0.0
AskPLHJ,AskPLHJ,0.0,0.010752688172043012,0,0,0.0,0.33333333333333337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
B78Dsw7,B78Dsw7,0.0,0.017921146953405017,0,0,0.0,0.33333333333333337,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
BQswCSV,BQswCSV,0.0,0.11827956989247312,0,0,0.0,0.33333333333333337,0.33333333333333337,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0
BX5PqK5,BX5PqK5,0.0,0.04549214226633582,0,0,0.0,0.33333333333333337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.07692307692307693,0.0,0.0,1.0,0.0
BbhSKMz,BbhSKMz,0.0,0.11662240072994703,0,0,0.0,0.46153846153846156,0.33333333333333337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.24921924266571366,0.5378700517575161,1,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.8333333333333334,0.2,0.0
C46iuqZ,C46iuqZ,0.0,0.010752688172043012,0,0,0.0,0.33333333333333337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
CgQYMUu,CgQYMUu,0.0,0.043010752688172046,0,0,0.0,0.33333333333333337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0
CxwMFfN,CxwMFfN,0.0,0.07965826434736391,0,0,0.0,0.4285714285714286,0.0,0.023255813953488372,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,1.7856823985285978e-05,0.017561095419378607,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
DTkBySF,DTkBySF,0.0,0.08096141682479444,0,0,0.0,0.33333333333333337,0.17647058823529416,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
EVcmkYU,EVcmkYU,0.0,0.010752688172043012,0,0,0.0,0.33333333333333337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
EXPxGbd,EXPxGbd,0.0,0.010752688172043012,0,0,0.0,0.33333333333333337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
