,Precipitation,Precipitation,Precipitation,Storm,Location,Ref.
,Rank,mm,in,Storm,Location,Ref.
0,1,582.0,22.91,Luis 1995,Dent de l'est (Soufrière),
1,2,534.0,21.02,Fiona 2022,Saint-Claude,[45]
2,3,508.0,20.0,Marilyn 1995,Saint-Claude,[46]
3,4,466.0,18.35,Lenny 1999,Gendarmerie,[47]
4,5,416.0,16.38,Philippe 2023,Vieux-Fort,[48]
5,6,389.0,15.31,Hugo 1989,,
6,7,318.0,12.52,Hortense 1996,Maison du Volcan,[49]
7,8,300.0,11.81,Jeanne 2004,,[50]
8,9,223.3,8.79,Cleo 1964,Deshaies,[46]
9,10,200.0,7.87,Erika 2009,,[51]
