,EF2 tornado,EF2 tornado.1
0,"Tree damage on South Carlen Street in Mobile, Alabama, caused by an EF2 tornado.","Tree damage on South Carlen Street in Mobile, Alabama, caused by an EF2 tornado."
1,,
2,,
3,Max. rating1,EF2 tornado
4,,
5,,
6,Fatalities,
7,Damage,$1.35 million (2012 USD)
8,Power outages,23000
9,1Most severe tornado damage; see Enhanced Fujita scale,1Most severe tornado damage; see Enhanced Fujita scale
