,2015–16 North American winter,2015–16 North American winter.1
0,Satellite image of a historic blizzard bearing down on the Northeastern United States on January 22,Satellite image of a historic blizzard bearing down on the Northeastern United States on January 22
1,Seasonal boundaries,Seasonal boundaries
2,Meteorological winter,December 1 – February 29
3,Astronomical winter,December 21 – March 20
4,First event started,"November 20, 2015"
5,Last event concluded,"April 17, 2016"
6,Most notable event,Most notable event
7,,
8,Name,January 2016 United States blizzard
9,• Duration,"January 21–24, 2016"
10,• Lowest pressure,983 mb (29.03 inHg)
11,• Fatalities,55 fatalities
12,• Damage,$0.5–3 billion (2016 USD)
13,Seasonal statistics,Seasonal statistics
14,Total storms (RSI) (Cat. 1+),3 total
15,Major storms (RSI) (Cat. 3+),1 total
16,Maximum snowfall accumulation,"51.3 in (130 cm) at Pinecliffe, Colorado (April 15–23, 2016)"
17,Maximum ice accretion,"1.5 in (38 mm) in Eakly, Oklahoma (November 25–27, 2015)"
18,Total fatalities,117 total
19,Total damage,$4.7–7.2 billion (2016 USD)
20,Related articles,Related articles
21,2015–16 UK and Ireland windstorm season,2015–16 UK and Ireland windstorm season
22,North American winters 2014–15 2015–16 2016–17,North American winters 2014–15 2015–16 2016–17
