index,0,1
0,"Category 3 ""Major"" (RSI/NOAA: 6.16)","Category 3 ""Major"" (RSI/NOAA: 6.16)"
1,,
2,Duration,"January 24–30, 2015"
3,Lowest pressure,970 mb (28.64 inHg)
4,Maximum snow,36 in (91 cm)
5,Fatalities,3 fatalities
6,Damage,$500 million (2015 USD)
