,2014–15 North American winter,2014–15 North American winter.1
0,"A temperature map of the frigid conditions in North America on November 13, 2014","A temperature map of the frigid conditions in North America on November 13, 2014"
1,Seasonal boundaries,Seasonal boundaries
2,Meteorological winter,December 1 – February 28
3,Astronomical winter,December 21 – March 20
4,First event started,"November 8, 2014"
5,Last event concluded,"May 9, 2015"
6,Most notable event,Most notable event
7,,
8,Name,"January 31 – February 2, 2015 North American blizzard"
9,• Duration,"January 30–February 3, 2015"
10,• Lowest pressure,978 mb (28.88 inHg)
11,• Fatalities,15 total
12,• Damage,Unknown (2015 USD)
13,Seasonal statistics,Seasonal statistics
14,Total storms (RSI) (Cat. 1+),10 total
15,Major storms (RSI) (Cat. 3+),2 total
16,Maximum snowfall accumulation,"88 in (220 cm) in East Aurora, New York (November 13–21, 2014)"
17,Maximum ice accretion,"0.5 in (13 mm) in Detroit, Alabama (February 25–26, 2015)"
18,Total fatalities,101 total
19,Total damage,≥ $546 million (2015 USD)
20,Related articles,Related articles
21,Weather of 2014–15,Weather of 2014–15
22,North American winters 2013–14 2014–15 2015–16,North American winters 2013–14 2014–15 2015–16
