,0,1,2,3,4,5,6,7,8,9
0,1,2,3,4,5,6,7,8,9,10
1,1933 (258.6),2005 (245.3),1893 (231.1),1926 (229.6),1995 (227.1),2004 (226.9),2017 (224.9),1950 (211.3),1961 (188.9),1998 (181.8)
