index,Storm name,Dates active,Storm category at peak intensity,Max 1-min wind mph (km/h),Min. press. (mbar),Areas affected,Damage  (USD),Deaths,Ref(s).,Unnamed: 9,Unnamed: 10
0,Arlene,June 8–13,Tropical storm,70 (110),989,"Cayman Islands, Cuba, Southeast United States",$11.8 million,1,[68],,
1,Bret,June 28–30,Tropical storm,40 (65),1002,Central Mexico,$9.2 million,2,[42],,
2,Cindy,July 3–7,Category 1 hurricane,75 (120),991,"Yucatan Peninsula, Southeastern US, East Coast of the United States",$320 million,3,[74][75],,
3,Dennis,July 4–13,Category 4 hurricane,150 (240),930,"Windward Islands, Greater Antilles, Southeastern US, Great Lakes Region",$4.026 billion,88,[77][49][33][48],,
4,Emily,July 11–21,Category 5 hurricane,160 (260),929,"Lesser Antilles, Greater Antilles, South America, Yucatan Peninsula, Mexico, Texas",>$371.67 million,22,[41][80][81][42][85][84][83],,
5,Franklin,July 21–29,Tropical storm,70 (110),997,"Bahamas, Bermuda, Newfoundland",,,,,
6,Gert,July 23–25,Tropical storm,45 (75),1005,Central Mexico,$6 million,1,[90][91],,
7,Harvey,August 2–8,Tropical storm,65 (100),994,Bermuda,,,,,
8,Irene,August 4–18,Category 2 hurricane,105 (165),970,East Coast of the US,,1,[95],,
9,Ten,August 13–14,Tropical depression,35 (55),1008,,,,,,
10,Jose,August 22–23,Tropical storm,60 (95),998,Central Mexico,$45 million,16,[42][98],,
11,Katrina,August 23–30,Category 5 hurricane,175 (280),902,"Bahamas, South Florida, Cuba, Southeastern US, Eastern US",$125 billion,1392,[179][34],,
12,Lee,August 28 – September 2,Tropical storm,40 (65),1006,,,,,,
13,Maria,September 1–10,Category 3 hurricane,115 (185),962,"Iceland, Scotland",$3.1 million,3,[63][64],,
14,Nate,September 5–10,Category 1 hurricane,90 (150),979,"Bermuda, Azores",,1,[118],,
15,Ophelia,September 6–17,Category 1 hurricane,85 (140),976,"Bahamas, Florida, The Carolinas, East Coast of the US, Atlantic Canada, Europe",$70 million,3,[37][119],,
16,Philippe,September 17–23,Category 1 hurricane,80 (130),985,Bermuda,Minimal,,,,
17,Rita,September 18–26,Category 5 hurricane,180 (285),895,"Hispaniola, Bahamas, Cuba, Florida, Gulf Coast of the United States, Midwestern United States",$18.5 billion,120,[39][124],,
18,Nineteen,September 30 – October 2,Tropical depression,35 (55),1006,,,,,,
19,Stan,October 1–5,Category 1 hurricane,80 (130),977,"Central America, Mexico",$2.708 billion[nb 4],1669,[44][42][43][45][139][138][141][140][142],,
20,Unnamed,October 4–5,Subtropical storm,50 (85),997,Azores,,,,,
21,Tammy,October 5–6,Tropical storm,50 (85),1001,"Bahamas, Southeastern US",Minor,10,[144][145],,
22,Twenty-Two,October 8–10,Subtropical depression,35 (55),1008,"Bermuda, New England",Minimal,[nb 5],,,
23,Vince,October 8–11,Category 1 hurricane,75 (120),988,"Portugal, Spain",Minimal,,,,
24,Wilma,October 15–26,Category 5 hurricane,185 (295),882,"Bahamas, Jamaica, Central America, Yucatan Peninsula, Cuba, South Florida, Bahamas, Atlantic Canada",$20.2 billion,48,[47][42][48][40][39],,
25,Alpha,October 22–24,Tropical storm,50 (85),998,"Hispaniola, Bahamas",Unknown,26,[52],,
26,Beta,October 26–31,Category 3 hurricane,115 (185),962,"Central America, Colombia",$15.5 million,9,[53][54][55][56][57][58][59][60],,
27,Gamma,November 14–21,Tropical storm,50 (85),1002,"Lesser Antilles, Central America",$18 million,39,[61][62],,
28,Delta,November 22–28,Tropical storm,70 (110),980,"Canary Islands, North Africa",$364 million,19,[67][163],,
29,Epsilon,November 29 – December 8,Category 1 hurricane,85 (140),981,,,,,,
30,Zeta,December 30 – January 6,Tropical storm,65 (100),994,,,,,,
31,Season aggregates,Season aggregates,Season aggregates,Season aggregates,Season aggregates,Season aggregates,Season aggregates,Season aggregates,Season aggregates,Season aggregates,Season aggregates
32,31 systems,"June 8, 2005 – January 6, 2006",,185 (295),882,,$171.667 billion,3473,,,
