index,2005 Atlantic hurricane season,2005 Atlantic hurricane season.1
0,Season summary map,Season summary map
1,Seasonal boundaries,Seasonal boundaries
2,First system formed,"June 8, 2005"
3,Last system dissipated,"January 6, 2006 (record latest, tied with 1954)"
4,Strongest storm,Strongest storm
5,,
6,Name,Wilma (Most intense hurricane in the Atlantic basin)
7,• Maximum winds,185 mph (295 km/h) (1-minute sustained)
8,• Lowest pressure,882 mbar (hPa; 26.05 inHg)
9,Seasonal statistics,Seasonal statistics
10,Total depressions,"31 (record high, tied with 2020)"
11,Total storms,28
12,Hurricanes,15 (record high)
13,Major hurricanes (Cat. 3+),"7 (record high, tied with 2020)"
14,Total fatalities,"3,473 total"
15,Total damage,$171.667 billion (2005 USD) (Second-costliest tropical cyclone season on record)
16,Related articles,Related articles
17,Timeline of the 2005 Atlantic hurricane season 2005 Pacific hurricane season 2005 Pacific typhoon season 2005 North Indian Ocean cyclone season,Timeline of the 2005 Atlantic hurricane season 2005 Pacific hurricane season 2005 Pacific typhoon season 2005 North Indian Ocean cyclone season
18,"Atlantic hurricane seasons 2003, 2004, 2005, 2006, 2007","Atlantic hurricane seasons 2003, 2004, 2005, 2006, 2007"
