index,sentences
0,"9,907 wildfires burned at least 601,625 acres(2,434.69 km2) of land in the state of California during 2013."
1,The wildfires injured at least 125 people and killed at least 1.
2,They also caused over $218.15 million(2013 USD) in damage.
3,"These included several large, notable wildfires, including the Rim Fire, which became California's 3rd largest wildfire."
4,"-Fires-
Below is a list of all fires that exceeded 1,000 acres(400 ha) during the 2013 fire season."
5,The list is taken from CAL FIRE's list of large fires.
