index,2013 California wildfires,2013 California wildfires.1
0,,
1,Statistics[1][2],Statistics[1][2]
2,Total fires,9907
3,Total area,"601,635 acres (2,434.73 km2)"
4,Impacts,Impacts
5,Deaths,1
6,Non-fatal injuries,At least 125
7,Structures destroyed,495 [3]
8,Damage,>$218.15 million (2013 USD)
9,Map,Map
10,"A map of wildfires in California in 2013, using Cal Fire data","A map of wildfires in California in 2013, using Cal Fire data"
11,Season,Season
12,← 2012 2014 →,← 2012 2014 →
