index,Storm name,Dates active,Storm category at peak intensity,Max 1-min wind mph (km/h),Min. press. (mbar),Areas affected,Damage  (USD),Deaths,Ref(s).,Unnamed: 9,Unnamed: 10
0,Adrian,June 11–19,Category 1 hurricane,85 (130),979,,,,,,
1,Beatriz,June 18–20,Tropical storm,65 (100),995,Southwestern Mexico,Unknown,6,,,
2,Three-E,June 27 – July 2,Tropical depression,35 (55),1006,"Southwestern Mexico, Baja California Peninsula",,,,,
3,Calvin,July 4–9,Category 2 hurricane,110 (175),966,"Western Mexico, Baja California Sur",$32 million,37,,,
4,Dora,July 14–20,Category 4 hurricane,130 (215),945,,,,,,
5,Eugene,July 15–25,Category 3 hurricane,125 (205),948,,,,,,
6,Keoni,August 9–19,Category 4 hurricane,130 (215),942,,,,,,
7,Fernanda,August 9–19,Category 4 hurricane,145 (230),934,Hawaiian Islands,$5 million,,,,
8,Greg,August 15–28,Category 4 hurricane,130 (215),948,,,,,,
9,Hilary,August 17–27,Category 3 hurricane,120 (195),957,"Baja California Peninsula, California, Iowa",,,,,
10,Irwin,August 21–22,Tropical storm,70 (110),999,Southwestern Mexico,,,,,
11,Jova,August 29 – September 5,Category 4 hurricane,130 (215),948,Southwestern Mexico,,,,,
12,Kenneth,September 5–17,Category 4 hurricane,150 (240),932,,,,,,
13,Lidia,September 8–14,Category 4 hurricane,150 (240),930,"Southwestern Mexico, California",$8 million,6 (1),,,
14,Fourteen-E,September 21–25,Tropical depression,35 (55),1002,Southwestern Mexico,,,,,
15,Max,September 30 – October 4,Tropical storm,45 (75),1000,,,,,,
16,Norma,October 2–6,Tropical storm,50 (85),1000,,,,,,
17,Seventeen-E,October 11–14,Tropical depression,35 (55),1009,,,,,,
18,Season aggregates,Season aggregates,Season aggregates,Season aggregates,Season aggregates,Season aggregates,Season aggregates,Season aggregates,Season aggregates,Season aggregates,Season aggregates
19,18 systems,June 11 – October 14,,150 (240),930,,$45 million,49 (1),,,
