,0,1,2,3,4
0,Auring,Bising,Crising,Dante,Emong
1,Feria,Gorio,Huaning,Isang,Jolina
2,Kiko,Labuyo,Maring,Nando,Ondoy
3,Pepeng,Quedan,Ramil (unused),Santi (unused),Tino (unused)
4,Undang (unused),Vinta (unused),Wilma (unused),Yolanda (unused),Zoraida (unused)
5,Auxiliary list,Auxiliary list,Auxiliary list,Auxiliary list,Auxiliary list
6,Alamid (unused),Bruno (unused),Conching (unused),Dolor (unused),Ernie (unused)
7,Florante (unused),Gerardo (unused),Hernan (unused),Isko (unused),Jerome (unused)
