index,2005 Pacific typhoon season,2005 Pacific typhoon season.1
0,Season summary map,Season summary map
1,Seasonal boundaries,Seasonal boundaries
2,First system formed,"January 13, 2005"
3,Last system dissipated,"December 21, 2005"
4,Strongest storm,Strongest storm
5,,
6,Name,Haitang
7,• Maximum winds,195 km/h (120 mph) (10-minute sustained)
8,• Lowest pressure,920 hPa (mbar)
9,Seasonal statistics,Seasonal statistics
10,Total depressions,33
11,Total storms,"23 official, 2 unofficial[a]"
12,Typhoons,13
13,Super typhoons,3 (unofficial)
14,Total fatalities,650 total
15,Total damage,$9.74 billion (2005 USD)
16,Related articles,Related articles
17,Timeline of the 2005 Pacific typhoon season 2005 Atlantic hurricane season 2005 Pacific hurricane season 2005 North Indian Ocean cyclone season,Timeline of the 2005 Pacific typhoon season 2005 Atlantic hurricane season 2005 Pacific hurricane season 2005 North Indian Ocean cyclone season
18,"Pacific typhoon seasons 2003, 2004, 2005, 2006, 2007","Pacific typhoon seasons 2003, 2004, 2005, 2006, 2007"
