,Name,Dates,Peak intensity,Peak intensity,Peak intensity,Areas affected,Damage (USD),Deaths,Refs
,Name,Dates,Category,Wind speed,Pressure,Areas affected,Damage (USD),Deaths,Refs
0,Kulap,January 13–19,Severe tropical storm,95 km/h (59 mph),985 hPa (29.09 inHg),Caroline Islands,,,
1,Roke (Auring),March 13–19,Severe tropical storm,100 km/h (62 mph),980 hPa (28.94 inHg),"Caroline Islands, Philippines","$166,000",7,
2,Sonca (Bising),April 21–27,Very strong typhoon,165 km/h (103 mph),935 hPa (27.61 inHg),Caroline Islands,,,
3,Crising,May 16–17,Tropical depression,Not specified,"1,008 hPa (29.77 inHg)",Philippines,,,
4,Nesat (Dante),May 29 – June 11,Very strong typhoon,175 km/h (109 mph),930 hPa (27.46 inHg),Caroline Islands,,,
5,Emong,July 4–7,Tropical depression,Not specified,"1,004 hPa (29.65 inHg)","Philippines, China",,,
6,Haitang (Feria),July 10–21,Violent typhoon,195 km/h (121 mph),920 hPa (27.17 inHg),"Mariana Islands, Ryukyu Islands, Taiwan, China",$1.1 billion,29,[12][13]
7,Nalgae,July 18–24,Tropical storm,85 km/h (53 mph),990 hPa (29.23 inHg),,,,
8,Banyan,July 20–27,Severe tropical storm,100 km/h (62 mph),975 hPa (28.79 inHg),Japan,,,
9,Washi,July 28–31,Tropical storm,85 km/h (53 mph),985 hPa (29.09 inHg),"South China, Vietnam",,,
10,Matsa (Gorio),July 30 – August 8,Typhoon,150 km/h (93 mph),950 hPa (28.05 inHg),"Taiwan, China, Korea",$2.23 billion,25,[13]
11,TD[a],August 9–12,Tropical depression,Not specified,996 hPa (29.41 inHg),"China, Vietnam, Laos",Unknown,13,[1]
12,Sanvu (Huaning),August 9–14,Severe tropical storm,95 km/h (59 mph),985 hPa (29.09 inHg),"Philippines, Taiwan, China",,36,[13]
13,Guchol,August 18–25,Severe tropical storm,100 km/h (62 mph),980 hPa (28.94 inHg),,,,
14,Mawar,August 19–27,Very strong typhoon,175 km/h (109 mph),930 hPa (27.46 inHg),Japan,,1,[15]
15,Talim (Isang),August 25 – September 2,Very strong typhoon,175 km/h (109 mph),925 hPa (27.32 inHg),"Taiwan, China",$1.5 billion,172,[12][13]
16,TD[a],August 27–31,Tropical depression,Not specified,"1,000 hPa (29.53 inHg)","China, Vietnam, Laos",$1.26 million,7,[22]
17,Nabi (Jolina),August 28 – September 8,Very strong typhoon,175 km/h (109 mph),925 hPa (27.32 inHg),"Caroline Islands, Mariana Islands, Korea, Japan, Russian Far East, Alaska",$972 million,35,[23][24]
18,Khanun (Kiko),September 6–12,Very strong typhoon,155 km/h (96 mph),945 hPa (27.91 inHg),"Caroline Islands, Taiwan, China, Korea",$1.22 billion,25,[13]
19,TD,September 11–14,Tropical depression,Not specified,998 hPa (29.47 inHg),"Vietnam, Cambodia, Thailand",,,
20,TD,September 15–16,Tropical depression,Not specified,"1,004 hPa (29.65 inHg)",Philippines,,,
21,Vicente,September 16–19,Tropical storm,85 km/h (53 mph),985 hPa (29.09 inHg),"Philippines, China, Vietnam, Laos, Thailand",$3.48 million,22,[25]
22,Saola,September 19–26,Typhoon,150 km/h (93 mph),950 hPa (28.05 inHg),Japan,,,
23,Damrey (Labuyo),September 19–28,Typhoon,150 km/h (93 mph),955 hPa (28.20 inHg),"Philippines, Taiwan, China, Vietnam, Laos, Thailand",$1.73 billion,180,[26][13][27][28]
24,Longwang (Maring),September 25 – October 3,Very strong typhoon,175 km/h (109 mph),930 hPa (27.46 inHg),"Ryukyu Islands, Taiwan, China",$971 million,136,[12][13]
25,20W,October 6–8,Tropical depression,Not specified,"1,006 hPa (29.71 inHg)","Vietnam, Cambodia, Laos",,,
26,TD,October 7–17,Tropical depression,Not specified,"1,004 hPa (29.65 inHg)",,,,
27,Kirogi (Nando),October 9–19,Very strong typhoon,185 km/h (115 mph),930 hPa (27.46 inHg),,,,
28,TD,October 10–12,Tropical depression,Not specified,"1,004 hPa (29.65 inHg)",,,,
29,Kai-tak,October 28 – November 2,Typhoon,150 km/h (93 mph),950 hPa (28.05 inHg),"Vietnam, China",$11 million,20,[29]
30,Tembin (Ondoy),November 7–12,Tropical storm,65 km/h (40 mph),"1,002 hPa (29.59 inHg)","Caroline Islands, Philippines",,,
31,Bolaven (Pepeng),November 14–20,Severe tropical storm,100 km/h (62 mph),985 hPa (29.09 inHg),Philippines,,,
32,25W (Quedan),December 16–21,Tropical depression,55 km/h (34 mph),"1,000 hPa (29.53 inHg)","Philippines, Vietnam",,,
33,Season aggregates,Season aggregates,Season aggregates,Season aggregates,Season aggregates,Season aggregates,Season aggregates,Season aggregates,Season aggregates
34,33 systems,"January 13 – December 21, 2005",,195 km/h (120 mph),920 hPa (27.17 inHg),,$9.74 billion,650,
