,0,1,2,3,4,5,6,7,8,9,10,11
0,Kulap,Roke,Sonca,Nesat,Haitang,Nalgae,Banyan,Washi,Matsa,Sanvu,Mawar,Guchol
1,Talim,Nabi,Khanun,Vicente,Saola,Damrey,Longwang,Kirogi,Kai-tak,Tembin,Bolaven,
