index,0,1
0,Typhoon (JMA),Typhoon (JMA)
1,Category 2 typhoon (SSHWS),Category 2 typhoon (SSHWS)
2,,
3,Duration,October 28 – November 2
4,Peak intensity,150 km/h (90 mph) (10-min); 950 hPa (mbar)
