,0,1
0,"Radar estimated rainfall in Eastern Kentucky from July 25 to 30, highlighting the counties that received the most rain.","Radar estimated rainfall in Eastern Kentucky from July 25 to 30, highlighting the counties that received the most rain."
1,Date,July 26 – August 1
2,Location,"Central Appalachia (Eastern Kentucky, Southwest Virginia, Southwest West Virginia)"
3,Deaths,38 direct deaths (+2 indirect)[2]
