index,0,1
0,12-hour rainfall totals for the Dallas-Fort Worth Metroplex,12-hour rainfall totals for the Dallas-Fort Worth Metroplex
1,Date,"August 21–22, 2022"
2,Location,"North Texas, especially the Dallas–Fort Worth metroplex"
3,Deaths,1 (4 injuries)[5]
