,0,1
0,"The Yvette storm in Southeast Europe, 15 May 2014","The Yvette storm in Southeast Europe, 15 May 2014"
1,Date,13–27 May 2014
2,Location,Serbia Bosnia and Herzegovina Croatia  Romania
3,Deaths,At least 86 57 in Serbia[1] 24 in Bosnia and Herzegovina[2] 2 in Croatia[3][4] 2 in Romania[5][6] 1 in Slovakia[7]
4,Property damage,More than one billion euros[8]
